,title,rating,review_count,price,Издательство,ISBN,Переплет,Количество страниц,Бумага,Язык,Дата выхода,Высота издания,Ширина издания,Код товара,Unnamed: 14,Тираж,Иллюстрированная,Формат книги,Толщина издания,Производитель,Артикул,Количество листов,Формат,Крепление,Обложка,Отделка обложки,Плотность,Страна-производитель,Размер (Д×Ш×В),Упаковка,Год,Учебный период,Предметы,Бренд,Серия,Цвет,Материал,Типы материалов,Пол,Дополнительная информация,Количество в наборе,Возраст,Размер упаковки (Д×Ш×В),Торговая марка,Вид,Особенности,Продолжительность игры,Количество игроков,Комплектация,Вид лампы,Количество режимов,Световая температура,Световой поток,Мощность,Патрон,Тип питания,Разъёмы,Длина кабеля,Гарантия,Unnamed: 17,Цоколь
1196,Статистика и котики,5.0,3.0,3344,АСТ,978-5-17-137912-4,твердый переплет,192.0,офсетная,русский,2021.0,210 мм,130 мм,2071544,,5000 экземпляров,нет,84x108/32,17 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197,Наклейки. Сделай своего чудика. Пампуш,4.9,15.0,304,Фламинго,"978-5-7833-2850-3, 978-5-7833-2274-7",мягкая обложка,12.0,,русский,2022.0,235 мм,160 мм,927310,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198,Алмазный Огранщик. Система управления бизнесом и жизнью,5.0,3.0,2469,АСТ,978-5-17-146139-3,мягкая обложка,352.0,,русский,2022.0,,,2303918,,,нет,60x90/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,Очарование женственности,4.7,13.0,3668,Эксмо,978-5-04-004075-9,твердый переплет,272.0,офсетная,русский,2017.0,200 мм,138 мм,898127,,,нет,60x84/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,Золотой календарь фэншуй на 2024 год. 366 очень важных предсказаний. Стань богаче и счастливее с каждым днем!,5.0,1.0,1441,АСТ,978-5-17-158908-0,мягкая обложка,224.0,"газетная, пухлая",русский,2023.0,201 мм,125 мм,3008880,,,,84x108/32,15 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,Правила выживания в школе,5.0,18.0,5518,"Манн, Иванов и Фербер",978-5-00146-330-6,твердый переплет,224.0,,русский,2019.0,219 мм,160 мм,1516710,,,да,60x90/16,23 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202,Читаем после азбуки с крупными буквами,5.0,34.0,2414,Эксмо,"978-5-699-35502-0, 5-699-16325-5, 978-5-699-31084-5, 978-5-699-35502-0",твердый переплет,64.0,офсетная,русский,2018.0,290 мм,220 мм,77958,,6000 экземпляров,нет,60x84/8,10 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203,Магическая битва 0. Токийский магический колледж. Ослепительная тьма,4.9,15.0,3307,Азбука,978-5-389-21178-0,суперобложка,200.0,,русский,2022.0,195 мм,128 мм,2429460,,,,,14 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,Вспоминая моих несчастных шлюшек,4.6,5.0,1525,АСТ,978-5-17-084926-0,мягкая обложка,160.0,офсетная,русский,2014.0,,,435785,,,нет,76x100/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1205,Фехтовальщики. Том второй,5.0,5.0,2760,Popcorn Books,978-5-6045889-3-2,мягкая обложка,112.0,,русский,2021.0,260 мм,165 мм,2004107,,,нет,,7 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206,Ведьмак. Последнее желание,4.9,10.0,5748,АСТ,978-5-17-102028-6,твердый переплет,320.0,офсетная,русский,2017.0,241 мм,168 мм,818796,,,нет,70x100/16,22 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207,Рыцарь Семи Королевств,4.8,12.0,2564,АСТ,978-5-17-093314-3,твердый переплет,384.0,газетная,русский,2015.0,205 мм,133 мм,575106,,,нет,84x108/32,26 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208,Математика. Комплексный тренажер. 3 класс,5.0,2.0,737,Кузьма,"978-985-7258-02-4, 978-985-579-311-4, 978-985-579-092-2",мягкая обложка,96.0,офсетная,русский,2020.0,210 мм,162 мм,679670,,,нет,70x84/16,4 мм,,,,,,,,,,,,,3 класс,математика,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209,Поллианна,4.9,50.0,933,Махаон,978-5-389-13736-3,твердый переплет,256.0,офсетная,русский,2021.0,210 мм,140 мм,987236,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,"Девушка, которую ты покинул",5.0,42.0,4023,Иностранка,978-5-389-04717-4,твердый переплет,544.0,офсетная,русский,2020.0,190 мм,126 мм,344867,,1000 экземпляров,нет,84x108/32,28 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211,"Еда, меняющая жизнь. Откройте тайную силу овощей, фруктов, трав и специй",4.2,5.0,7944,Эксмо,978-5-04-091327-5,твердый переплет,288.0,офсетная,русский,2018.0,265 мм,207 мм,1068899,,,нет,84x108/16,25 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,Первые головоломки для детей,,,1481,АСТ,978-5-17-158667-6,твердый переплет,320.0,"пухлая, типографская",русский,2023.0,208 мм,134 мм,3079647,,,,84x108/32,28 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,Секреты заключения сделок,5.0,2.0,5720,Попурри,"978-985-15-4949-4, 978-985-15-3768-2",интегральный переплет,480.0,офсетная,русский,2021.0,,,1232717,,3000 экземпляров,нет,70x100/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,Правило №1 – никогда не быть №2,5.0,5.0,5371,Эксмо,978-5-04-091535-4,твердый переплет,368.0,офсетная,русский,2018.0,230 мм,155 мм,1139936,,3000 экземпляров,нет,60x90/16,26 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,Убить пересмешника,5.0,20.0,2906,АСТ,978-5-17-104721-4,твердый переплет,416.0,,русский,2017.0,115 мм,180 мм,877958,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216,"Диалог. Искусство слова для писателей, сценаристов и драматургов",5.0,5.0,4319,Альпина нон-фикшн,978-5-91671-844-7,твердый переплет,318.0,,русский,2023.0,240 мм,170 мм,1105272,,5000 экземпляров,нет,70×100/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,Программирование на Java для начинающих,5.0,2.0,5917,Эксмо,978-5-699-89475-8,мягкая обложка,704.0,офсетная,русский,2017.0,235 мм,165 мм,855189,,2000 экземпляров,нет,70x100/16,32 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,1000 лабиринтов и головоломок,5.0,4.0,1801,АСТ,978-5-17-108694-7,мягкая обложка,80.0,офсетная,русский,2018.0,280 мм,210 мм,1172950,,5000 экземпляров,нет,60x84/8,7 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,Сказать жизни «ДА!». Психолог в концлагере,4.9,101.0,2655,Смысл,"978-5-91671-838-6, 978-5-91671-731-0, 978-5-91671-538-5, 978-5-91671-357-2, 978-5-91671-219-3, 978-5-91671-097-7 , 978-5-91671-838-6",твердый переплет,239.0,офсетная,русский,2022.0,173 мм,115 мм,653248,,15000 экземпляров,нет,70x90/32,18 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,Тренажер. Учим таблицу умножения,5.0,7.0,680,Стрекоза,978-5-9951-2581-5,мягкая обложка,32.0,офсетная,русский,2019.0,235 мм,165 мм,599312,,,нет,70x100/16,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,"Ружья, микробы и сталь: история человеческих сообществ",5.0,6.0,1894,АСТ,978-5-17-101162-8,мягкая обложка,768.0,газетная,русский,2017.0,180 мм,118 мм,817573,,,нет,76x100/32,28 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1222,Люси Краун,5.0,2.0,1481,АСТ,978-5-17-108203-1,мягкая обложка,352.0,газетная,русский,2018.0,180 мм,115 мм,1150648,,,нет,76x100/32,18 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1223,"Milk and Honey. Белые стихи, покорившие мир",5.0,6.0,3110,Форс,978-966-993-160-3,твердый переплет,400.0,офсетная,"русский, английский",2020.0,207 мм,146 мм,2770416,,,да,60x84/16,30 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224,"Раз — ступенька, два — ступенька. Часть 2. Математика для детей 6-7 лет",5.0,35.0,1490,Бином,"978-5-09097-529-2, 978-5-09088-706-9, 978-5-09084-596-0, 978-5-9963-4538-0, 978-5-9963-3257-1, 978-5-9963-3524-4, 5-85429-274-2, 978-5-85429-274-0",мягкая обложка,64.0,,русский,2023.0,260 мм,195 мм,36483,,150000 экземпляров,нет,84x108/16,3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,Дядя Фёдор идёт в школу,5.0,3.0,1389,АСТ,978-5-17-119781-0,твердый переплет,144.0,,русский,2019.0,200 мм,125 мм,1533312,,,нет,84x108/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1226,Колыбель для кошки,4.5,10.0,1389,АСТ,978-5-17-080228-9,мягкая обложка,288.0,офсетная,русский,2014.0,180 мм,115 мм,421286,,,нет,76x100/32,17 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,Ганнибал,5.0,3.0,2863,Эксмо,978-5-04-184477-6,мягкая обложка,512.0,офсетная,русский,2023.0,200 мм,125 мм,2808841,,,,84×108/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228,Красавица и Чудовище. Путь к сердцу,4.9,7.0,2079,Эксмо,978-5-04-111573-9,твердый переплет,64.0,мелованная,русский,2021.0,,,1930358,,5000 экземпляров,нет,60x82/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,"Люди, которые всегда со мной",4.0,4.0,1651,АСТ,978-5-17-101626-5,мягкая обложка,346.0,,Русский,2022.0,180 мм,116 мм,824795,,,нет,76x100/32,18 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230,Отель с привидениями,5.0,1.0,1854,Эксмо,978-5-04187-756-9,мягкая обложка,320.0,"офсетная, пухлая",русский,2023.0,202 мм,127 мм,2940114,,,,84x108/32,17 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231,Божественная комедия,4.8,32.0,1181,Азбука,978-5-389-05867-5,твердый переплет,544.0,газетная,русский,2021.0,205 мм,135 мм,352447,,15000 экземпляров,,,26 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1232,Часодеи. Часовое имя. Книга 4,4.9,17.0,3138,Росмэн,978-5-353-05956-1,твердый переплет,384.0,,русский,2012.0,,,292509,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233,Все цветы Парижа,4.8,20.0,1378,Эксмо,978-5-04-160231-4,мягкая обложка,416.0,газетная,русский,2021.0,165 мм,113 мм,2317154,,,нет,80x100/32,17 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234,"Мозг Будды. Нейропсихология счастья, любви и мудрости",4.5,6.0,2014,Прогресс книга,978-5-4461-1366-8,мягкая обложка,352.0,,Русский,2021.0,180 мм,115 мм,1465924,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,И дольше века длится день...,4.9,24.0,1098,Азбука,978-5-389-10523-2,мягкая обложка,464.0,газетная,русский,2016.0,179 мм,116 мм,657824,,5000 экземпляров,нет,,18 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1236,Внутри убийцы,5.0,1.0,2414,Эксмо,978-5-04-184390-8,мягкая обложка,448.0,газетная,русский,2023.0,185 мм,115 мм,2784485,,3000 экземпляров,,76x100/32,19 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1237,Теория Всего,4.9,8.0,1651,АСТ,978-5-17-137798-4,мягкая обложка,256.0,офсетная,русский,2021.0,180 мм,116 мм,2152482,,,нет,,18 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238,Чудо любви,5.0,2.0,1439,АСТ,978-5-17-152166-0,мягкая обложка,384.0,"пухлая, типографская",русский,2022.0,180 мм,115 мм,2594439,,5000 экземпляров,,76x100/32,28 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1239,Быстрое обучение чтению,5.0,4.0,1145,АСТ,978-5-17-100121-6,мягкая обложка,288.0,газетная,русский,2016.0,199 мм,124 мм,776162,,7000 экземпляров,нет,84x108/32,15 мм,,,,,,,,,,,,,"от 5 до 7 лет, 1 класс",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240,Учимся мыслить позитивно. Сборник простых и действенных упражнений,4.6,10.0,1245,Контэнт,978-5-91906-796-2,мягкая обложка,64.0,,русский,2017.0,240 мм,165 мм,904966,,,нет,70x100/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241,Самый богатый человек в Вавилоне,4.9,27.0,1170,АСТ,978-5-17-151784-7,мягкая обложка,192.0,"пухлая, типографская",русский,2023.0,182 мм,117 мм,2752757,,,,76x100/32,17 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1242,Сделай своего чудика «Жорж Кукин» с наклейками,5.0,3.0,319,Фламинго,978-5-7833-2847-3,мягкая обложка,12.0,,русский,2022.0,235 мм,165 мм,2352936,,,нет,70x100/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1243,Две встречи в Париже,4.7,48.0,2690,Иностранка / КоЛибри,978-5-389-11260-5,твердый переплет,256.0,,русский,2021.0,172 мм,110 мм,722803,,,нет,,15 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1244,Эквилибрис. Книга 1. Монструм,4.7,16.0,2760,Popcorn Books,978-5-604-54265-1,мягкая обложка,480.0,,русский,2021.0,215 мм,145 мм,2112473,,,нет,60x90/16,36 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1245,Арифметика вязания. Авторский метод расчетов и вязания одежды с имитацией втачного рукава,4.8,4.0,8908,Эксмо,978-5-04-100953-3,твердый переплет,224.0,,русский,2019.0,265 мм,205 мм,1498533,,4000 экземпляров,да,84x108/16,18 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1246,Хрестоматия для младшей группы,5.0,20.0,1348,Самовар,"978-5-9781-0889-7, 978-5-9781-0735-7",твердый переплет,192.0,офсетная,русский,2021.0,221 мм,146 мм,427670,,,нет,,14 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1247,Все цветы Парижа,5.0,40.0,2490,Эксмо,978-5-04-104956-0,твердый переплет,384.0,офсетная,русский,2019.0,190 мм,116 мм,1485844,,,нет,80x100/32,25 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1248,Незнакомка из Уайлдфелл-Холла,5.0,4.0,1196,АСТ,978-5-17-151378-8,твердый переплет,448.0,"газетная, пухлая",русский,2022.0,207 мм,132 мм,2620868,,,,84x108/32,31 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1249,И дольше века длится день,4.8,13.0,1250,АСТ,978-5-17-102063-7,мягкая обложка,512.0,офсетная,русский,2018.0,179 мм,115 мм,1162664,,5000 экземпляров,нет,76x100/32,25 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250,Дневник слабака 2. Родрик рулит,4.8,4.0,2906,АСТ,978-5-17-095204-5,твердый переплет,224.0,офсетная,русский,2016.0,207 мм,146 мм,722655,,3000 экземпляров,нет,60x84/16,14 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1251,Маленький принц. Романы,5.0,9.0,1029,Эксмо,978-5-04-157083-5,твердый переплет,256.0,газетная,русский,2022.0,207 мм,130 мм,2224618,,,нет,84x108/32,19 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1252,"Мужчины с Марса, Женщины с Венеры",4.7,54.0,3590,София,978-5-906897-39-8,мягкая обложка,352.0,газетная,русский,2022.0,200 мм,126 мм,423899,,,нет,84x108/32,18 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1253,Мы,4.9,8.0,962,Азбука,978-5-389-10448-8,твердый переплет,288.0,газетная,русский,2021.0,205 мм,132 мм,607078,,,нет,,21 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254,Большая книга самых нужных и полезных знаний для девочек,5.0,1.0,5748,АСТ,978-5-17-105039-9,твердый переплет,160.0,офсетная,русский,2018.0,290 мм,218 мм,1090441,,,нет,60x84/8,20 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1255,Букварь для будущих отличников,4.9,14.0,2688,Астрель,"978-5-17-081189-2, 978-5-271-23181-0",твердый переплет,96.0,,русский,2021.0,263 мм,202 мм,97707,,10000 экземпляров,да,84x108/16,11 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1256,Магическая битва. Книга 1. Двуликий Сукуна. Проклятый плод,5.0,4.0,4291,Азбука,978-5-389-20871-1,суперобложка,384.0,,русский,2022.0,195 мм,130 мм,2398012,,,,,24 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1257,Вагина. Новая история женской сексуальности,4.3,11.0,2141,Альпина нон-фикшн,978-5-00139-061-9,мягкая обложка,554.0,офсетная,русский,2022.0,,,1300616,,,нет,70x100/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1258,Посёлок,5.0,8.0,1199,Азбука,978-5-389-15690-6,мягкая обложка,416.0,газетная,русский,2021.0,180 мм,115 мм,1289497,,,нет,,16 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1259,Точка обмана,4.8,36.0,1435,АСТ,978-5-17-089569-4,мягкая обложка,576.0,газетная,русский,2014.0,179 мм,116 мм,478058,,,нет,76x100/32,32 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1260,Радикальное прощение. Духовная технология для исцеления взаимоотношений,4.7,97.0,4890,София,"978-5-399-00455-6 , 978-5-906686-81-7",твердый переплет,256.0,офсетная,русский,2021.0,206 мм,132 мм,306365,,,нет,84x108/32,16 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1261,Человек в коричневом костюме,5.0,7.0,1430,Эксмо,978-5-04-121095-3,мягкая обложка,320.0,газетная,русский,2021.0,,,2037815,,4000 экземпляров,нет,70x100/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262,Русский язык. Орфография. Пунктуация,5.0,5.0,1682,Айрис-пресс,"978-5-8112-6147-5, 978-5-8112-5539-9, 978-5-8112-4786-8, 978-5-8112-4445-4",мягкая обложка,384.0,,русский,2015.0,,,242903,,8000 экземпляров,нет,60x90/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1263,Единственный конец злодейки — смерть. Том 3,5.0,5.0,4463,"Манн, Иванов и Фербер",978-5-00214-091-6,твердый переплет,288.0,мелованная,русский,2023.0,220 мм,155 мм,2890203,,,,,20 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1264,"Инквизиция, ересь и колдовство. Молот ведьм",5.0,1.0,4531,АСТ,978-5-17-154602-1,твердый переплет,368.0,"офсетная, пухлая",русский,2023.0,220 мм,170 мм,2780529,,,,70x90/16,25 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265,Use your Girl Power! Учим английский по историям великих женщин,5.0,4.0,4417,Феникс,"978-5-222-38681-1, 978-5-222-37495-5, 978-5-222-36902-9, 978-5-222-34277-0",твердый переплет,270.0,офсетная,русский,2023.0,215 мм,170 мм,2001142,,,нет,70x90/16,20 мм,,,,,,,,,,,,,,английский язык,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1266,Великий Гэтсби,5.0,1.0,2079,Эксмо,978-5-04-098849-5,мягкая обложка,320.0,офсетная,русский,2021.0,,,2168365,,3000 экземпляров,нет,84x108/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1267,Анна Каренина,5.0,5.0,1525,Эксмо,978-5-04-119061-3,твердый переплет,800.0,газетная,русский,2021.0,207 мм,140 мм,1984762,,10000 экземпляров,нет,84x108/32,38 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1268,Последняя песня,4.5,6.0,1439,АСТ,978-5-17-148322-7,мягкая обложка,416.0,типографская,русский,2022.0,180 мм,115 мм,2423552,,,,76x100/32,30 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1269,Ночь Огня,5.0,1.0,2564,АСТ,978-5-17-145973-4,твердый переплет,192.0,"офсетная, пухлая",русский,2022.0,208 мм,133 мм,2594250,,6500 экземпляров,,84x108/32,15 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270,Маленькая злая книга. Специальное издание. Читай с друзьями!,5.0,13.0,2055,Эксмо,978-5-04-113013-8,твердый переплет,128.0,офсетная,русский,2021.0,,,2022593,,,нет,62x88/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1271,SPQR. История Древнего Рима,4.9,8.0,4872,Альпина нон-фикшн,"978-5-00139-011-4, 978-5-91671-639-9, 978-1-8466-8380-0",твердый переплет,696.0,,русский,2022.0,215 мм,145 мм,794501,,5000 экземпляров,нет,60×90/16,45 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1272,Маркетинговые войны,4.0,3.0,6262,Питер,"978-5-4461-1347-7, 978-5-496-02961-2",твердый переплет,288.0,офсетная,русский,2019.0,207 мм,193 мм,921308,,2000 экземпляров,нет,,20 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1273,О войне,5.0,1.0,1801,АСТ,978-5-17-146845-3,мягкая обложка,1024.0,газетная,русский,2022.0,180 мм,115 мм,2349246,,,нет,,40 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1274,Гарри Поттер. Комплект из 7 книг,4.3,85.0,29453,Махаон,"978-5-389-10668-0, 978-5-389-10469-3",твердый переплет,4416.0,офсетная,русский,2021.0,215 мм,245 мм,611178,,,,84×108/32,135 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1275,Белые искры снега,5.0,2.0,3438,АСТ,978-5-17-156416-2,твердый переплет,704.0,типографская,русский,2023.0,210 мм,133 мм,2849285,,,,84×108/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1276,Я забыл умереть,4.4,14.0,3443,Эксмо,978-5-04-089031-6,твердый переплет,288.0,офсетная,русский,2018.0,218 мм,147 мм,1060630,,,нет,60x90/16,18 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1277,Падение,5.0,4.0,1250,АСТ,978-5-17-137324-5,мягкая обложка,160.0,офсетная,русский,2021.0,180 мм,115 мм,2311640,,,нет,76x100/32,10 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1278,Удушье,3.7,3.0,1439,АСТ,978-5-17-138989-5,мягкая обложка,320.0,офсетная,русский,2021.0,180 мм,115 мм,2157476,,,нет,76x100/32,18 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1279,Я раскрашиваю замурчательных котят,,,1029,Эксмодетство,978-5-04-188920-3,мягкая обложка,64.0,офсетная,русский,2023.0,155 мм,140 мм,3081890,,3000 экземпляров,,70×120/32,5 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280,Фиалки в марте,4.6,5.0,1287,Эксмо,978-5-04-116926-8,мягкая обложка,352.0,газетная,русский,2020.0,165 мм,125 мм,1843770,,4000 экземпляров,нет,70x108/32,21 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1281,Сказки барда Бидля,4.8,19.0,3838,Махаон,978-5-389-12732-6,твердый переплет,136.0,,русский,2021.0,218 мм,173 мм,875533,,,нет,,17 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1282,Одиннадцать подснежников,,,3217,Inspiria,978-5-04-184193-5,твердый переплет,320.0,"офсетная, пухлая",русский,2023.0,207 мм,134 мм,3004861,,,,84x108/32,22 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283,Magnolia Parks,,,7990,Orion Publishers,9781398716902,мягкая обложка,448.0,,английский,2023.0,197 мм,128 мм,3074666,,,,,31 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1284,Человек-бензопила. Книга 1. Пес и бензопила. Бензопила против нетопыря,5.0,7.0,4882,Азбука,978-5-389-20205-4,твердый переплет,384.0,,русский,2021.0,200 мм,136 мм,2252022,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1285,Обними меня крепче. 7 диалогов для любви на всю жизнь,5.0,7.0,1643,"Манн, Иванов и Фербер",978-5-00195-766-9,мягкая обложка,320.0,типографская,русский,2022.0,185 мм,125 мм,2581261,,,,80x108/32,24 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1286,Практический курс Трансерфинга за 78 дней,4.9,15.0,3844,Весь,"978-5-9573-1574-2, 978-5-9573-2489-8",мягкая обложка,224.0,газетная,русский,2022.0,200 мм,125 мм,53127,,10000 экземпляров,,84×108/32,10 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287,Замри,4.6,5.0,2529,Popcorn Books,978-5-6046290-1-7,мягкая обложка,288.0,газетная,русский,2021.0,209 мм,140 мм,2090855,,,нет,,22 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1288,Общество потребления,3.7,3.0,1481,АСТ,978-5-17-122729-6,мягкая обложка,384.0,офсетная,русский,2020.0,180 мм,115 мм,1785561,,5000 экземпляров,нет,76x100/32,19 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
